stock_code,company_name_x,risk_score,leverage_z,operating_asset_ratio_z,operating_liability_ratio_z,ocf_growth_z,cash_to_debt_z,gross_margin_z,net_profit_ratio_z,operating_profit_ratio_z,profit_to_total_profit_z,cash_profit_ratio_z,cashflow_to_debt_z,ocf_ratio_z
301687,新广益,38.628,8.748,49.063,53.638,39.477,97.045,0.348,1.036,1.263,1.881,63.749,63.49,83.793
688270,臻镭科技,32.449,1.477,21.38,50.672,39.439,56.531,0.326,1.021,1.25,1.877,63.853,67.763,83.802
603352,至信股份,38.348,27.016,44.991,30.845,39.609,99.697,0.366,1.053,1.281,1.882,63.358,66.33,83.753
1396,誉帆科技,38.356,18.431,49.494,31.016,39.531,99.591,0.342,1.037,1.263,1.882,63.945,69.93,83.813
1369,双欣环保,33.931,7.815,7.084,39.648,39.494,97.126,0.354,1.038,1.266,1.882,63.765,63.943,83.759
688805,健信超导,36.876,14.184,56.434,17.763,39.587,98.115,0.356,1.044,1.272,1.881,63.624,64.451,83.793
603402,陕西旅游,31.84,21.266,4.481,10.719,40.431,97.62,0.291,1.002,1.204,1.889,63.614,55.777,83.79
603248,锡华科技,34.66,11.927,23.032,26.306,39.619,98.264,0.344,1.031,1.256,1.884,63.753,64.707,83.793
301449,天溯计量,33.796,11.715,32.55,15.02,39.439,97.338,0.352,1.04,1.266,1.882,63.65,57.644,83.655
301667,纳百川,38.664,29.437,40.803,35.35,39.65,99.344,0.363,1.047,1.276,1.88,63.676,67.344,83.792
300581,晨曦航空,43.125,7.729,69.073,75.877,39.454,96.982,0.352,1.057,1.286,1.884,66.457,73.527,83.821
688809,强一股份,35.787,2.867,27.915,52.684,39.407,94.186,0.364,1.053,1.283,1.873,63.422,60.591,83.801
688802,沐曦股份,37.144,11.165,15.601,19.541,39.543,98.275,2.766,3.518,3.736,1.877,63.67,100.0,86.032
688790,昂瑞微,38.496,17.434,41.136,42.886,39.535,98.505,0.414,1.1,1.33,1.877,63.848,70.079,83.809
688378,奥来德,34.898,8.32,23.099,30.987,39.472,96.686,0.353,1.025,1.255,1.877,63.839,68.063,83.802
1325,元创股份,37.264,14.643,36.816,43.009,39.504,98.242,0.346,1.037,1.259,1.886,63.64,63.002,83.787
688807,优迅股份,34.957,5.507,41.92,22.818,39.556,98.2,0.352,1.026,1.256,1.877,63.734,59.442,83.79
2463,沪电股份,37.018,17.121,31.398,41.097,39.589,98.976,0.347,1.035,1.262,1.881,63.616,64.112,83.786
688796,百奥赛图,34.174,30.619,11.131,7.857,39.368,99.238,0.455,1.14,1.369,1.877,63.839,69.39,83.805
688795,摩尔线程,35.376,28.028,16.449,3.353,39.465,98.061,2.364,3.115,3.341,1.877,63.755,80.876,83.833
688727,恒坤新材,34.326,14.926,11.43,27.963,39.406,98.997,0.341,1.024,1.248,1.882,63.703,67.189,83.8
301638,南网数字,37.887,13.951,42.066,45.414,46.994,95.703,0.363,1.047,1.275,1.882,62.724,59.425,83.799
1280,中国铀业,36.781,20.887,45.498,17.59,39.494,98.282,0.358,1.048,1.272,1.89,63.751,67.513,83.792
1233,海安集团,36.261,17.432,34.48,31.974,39.562,98.284,0.325,1.017,1.238,1.883,63.707,61.439,83.791
600169,ST太重,39.414,36.468,51.351,25.329,39.479,99.766,0.371,1.057,1.287,1.88,63.554,68.626,83.798
603334,丰倍生物,35.271,17.807,27.724,23.605,39.426,98.876,0.367,1.049,1.278,1.881,63.656,63.812,83.767
300237,ST美晨,38.268,44.585,23.657,30.336,39.536,99.841,0.44,1.183,1.393,1.87,63.88,68.709,83.791
603376,大明电子,40.095,28.769,59.273,34.97,39.544,99.865,0.361,1.046,1.275,1.88,63.742,67.332,83.086
600481,双良节能,34.473,34.666,12.373,8.152,39.485,98.877,0.363,1.051,1.278,1.884,63.719,68.045,83.784
688759,必贝特,33.406,12.179,0.0,22.521,39.489,92.424,0.377,1.06,1.29,1.877,63.745,82.102,83.807
603175,超颖电子,38.444,31.093,35.052,38.709,39.648,99.475,0.363,1.05,1.277,1.883,63.338,65.655,83.784
688765,禾元生物,36.18,10.302,4.238,51.943,39.389,96.903,1.609,2.213,2.44,1.877,63.759,75.682,83.808
505,京粮控股,35.029,20.053,37.691,3.238,40.558,98.401,0.378,1.059,1.288,1.887,63.686,68.308,83.802
603092,德力佳,38.587,29.135,43.868,30.909,39.719,99.729,0.348,1.039,1.262,1.886,63.767,67.588,83.793
300631,久吾高科,38.903,15.678,46.214,46.775,39.469,98.883,0.362,1.051,1.282,1.875,63.671,67.78,83.795
1386,马可波罗,34.775,16.663,29.566,20.329,40.348,97.658,0.343,1.038,1.264,1.883,63.482,60.947,83.785
601026,道生天合,37.806,23.559,38.544,31.539,39.369,99.297,0.37,1.053,1.282,1.88,63.916,69.057,83.804
601155,新城控股,37.885,34.878,43.433,18.758,39.524,99.8,0.366,1.059,1.285,1.908,61.475,68.336,83.795
603789,*ST星农,38.91,29.135,40.059,37.578,39.579,99.578,0.447,1.097,1.324,1.876,63.923,68.524,83.799
601519,大智慧,32.694,11.574,4.185,28.41,39.596,91.948,0.407,1.041,1.336,1.873,63.538,64.632,83.792
688783,西安奕材,32.42,17.97,9.082,2.946,39.398,98.953,0.427,1.119,1.359,1.883,63.97,68.133,83.802
301563,云汉芯城,38.569,13.345,52.764,41.17,39.383,98.636,0.372,1.056,1.285,1.879,63.707,65.432,83.797
688373,盟科药业,34.919,12.468,5.778,26.951,39.429,98.495,1.108,1.754,1.966,1.877,63.738,81.512,83.953
605268,王力安防,39.686,26.266,42.665,49.7,39.566,99.527,0.364,1.058,1.287,1.884,62.942,67.191,83.783
600459,贵研铂业,36.661,18.892,55.645,8.227,39.368,98.922,0.375,1.059,1.288,1.886,63.598,66.871,83.8
301584,建发致新,45.557,39.652,86.652,59.442,39.492,99.538,0.373,1.058,1.287,1.891,64.206,69.29,83.808
603112,华翔股份,36.781,20.509,32.656,29.881,39.535,99.445,0.359,1.043,1.272,1.879,63.745,67.268,83.784
603418,友升股份,37.439,21.316,44.35,23.845,39.395,99.711,0.358,1.044,1.271,1.882,63.853,68.446,83.802
301668,昊创瑞通,44.012,23.114,62.131,88.153,39.579,98.143,0.353,1.041,1.267,1.882,63.674,65.01,83.796
1285,瑞立科密,39.937,19.93,53.924,47.716,39.623,99.67,0.354,1.04,1.267,1.882,63.716,66.443,83.673
1255,博菲电气,36.619,7.525,26.752,49.074,39.401,97.791,0.361,1.045,1.273,1.881,63.737,66.789,83.802
851,*ST高鸿,36.356,26.279,26.807,21.957,39.258,99.397,0.379,1.083,1.314,1.878,63.749,70.365,83.806
301656,联合动力,41.147,30.952,55.09,47.465,39.482,99.493,0.369,1.057,1.288,1.858,63.964,68.941,83.804
301575,艾芬达,37.615,20.106,42.606,32.05,39.405,99.45,0.363,1.031,1.257,1.882,63.747,65.724,83.763
